Description	CCS Group	ICD9	CCS
GUM BIOPSY	Insertion, revision, replacement, removal of	2411	048
chlorzoxazone	Insertion, revision, replacement, removal of	2410	048
Lipoma of spermatic cord	Diagnostic cardiac catheterization, coronary	2144	047
Lipoma of intra-abdominal organs	Diagnostic cardiac catheterization, coronary	2143	047
Lipoma of intrathoracic organs	Diagnostic cardiac catheterization, coronary	2142	047
Lipoma of other skin and subcutaneous tissue	Diagnostic cardiac catheterization, coronary	2141	047
Lipoma of skin and subcutaneous tissue of face	Diagnostic cardiac catheterization, coronary	2140	047
TOOTH & GUM DX PROC NEC	Insertion, revision, replacement, removal of	2419	048
Lipoma, unspecified site	Diagnostic cardiac catheterization, coronary	2149	047
Lipoma of other specified sites	Diagnostic cardiac catheterization, coronary	2148	047
Herpes zoster iridocyclitis	Excision, lysis peritoneal adhesions	05322	090
Herpes zoster keratoconjunctivitis	Excision, lysis peritoneal adhesions	05321	090
Herpes zoster dermatitis of eyelid	Excision, lysis peritoneal adhesions	05320	090
Herpes zoster with other ophthalmic complications	Excision, lysis peritoneal adhesions	05329	090
Malignant neoplasm of cranial nerves	Tracheoscopy and laryngoscopy with biopsy	1920	035
REV STAPDEC W INCUS REPL	Tracheoscopy and laryngoscopy with biopsy	1921	035
Malignant neoplasm of spinal cord	Tracheoscopy and laryngoscopy with biopsy	1922	035
Malignant neoplasm of spinal meninges	Tracheoscopy and laryngoscopy with biopsy	1923	035
STAPEDECTOMY REVIS NEC	Tracheoscopy and laryngoscopy with biopsy	1929	035
Other organic sleep disorders	Residual codes; unclassified	3278	259
Articular cartilage disorder, hand	Conversion of cardiac rhythm	71804	225
Acute myocardial infarction of other specified sites, subsequent episode of care	Endoscopy and endoscopic biopsy of the urinar	41082	100
Acute myocardial infarction of other specified sites, episode of care unspecified	Endoscopy and endoscopic biopsy of the urinar	41080	100
Acute myocardial infarction of other specified sites, initial episode of care	Endoscopy and endoscopic biopsy of the urinar	41081	100
Profound impairment, both eyes, impairment level not further specified	Exploratory laparotomy	36900	089
One eye: total vision impairment; other eye: normal vision	Exploratory laparotomy	36963	089
procreative mgmt-counsel	Other organ transplantation	V264	176
Athetoid cerebral palsy	Hemorrhoid procedures	33371	081
genetic counsel & test	Other organ transplantation	V263	176
Tuboplasty or vasoplasty after previous sterilization	Other organ transplantation	V260	176
Acute dystonia due to drugs	Hemorrhoid procedures	33372	081
Other acquired torsion dystonia	Hemorrhoid procedures	33379	081
procreative mangmt nec	Other organ transplantation	V268	176
Unspecified procreative management	Other organ transplantation	V269	176
Dysplasia of cervix, unspecified	Other OR therapeutic procedures on skin and b	62210	175
Mild dysplasia of cervix	Other OR therapeutic procedures on skin and b	62211	175
Moderate dysplasia of cervix	Other OR therapeutic procedures on skin and b	62212	175
aftercare w plastic surg	Other aftercare	V51	257
Communicating hydrocephalus	Hemorrhoid procedures	3313	081
Idiopathic normal pressure hydrocephalus (INPH)	Hemorrhoid procedures	3315	081
Obstructive hydrocephalus	Hemorrhoid procedures	3314	081
Burkitt's tumor or lymphoma, lymph nodes of multiple sites	Other diagnostic procedures on lung and bronc	20028	038
Fracture, cause unspecified	E Codes: Unspecified	E887	262
Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites	Other diagnostic procedures on lung and bronc	20020	038
Burkitt's tumor or lymphoma, intra-abdominal lymph nodes	Other diagnostic procedures on lung and bronc	20023	038
Other and unspecified fall	E Codes: All (external causes of injury and poisoning)	E888	260
Cataract in inflammatory ocular disorders	Other hernia repair	36632	086
Cataracta complicata, unspecified	Other hernia repair	36630	086
Dissection of aorta, unspecified site	Circumcision	44100	115
Dissection of aorta, thoracic	Circumcision	44101	115
Dissection of aorta, abdominal	Circumcision	44102	115
Dissection of aorta, thoracoabdominal	Circumcision	44103	115
Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta	Decompression peripheral nerve	07020	006
Other anomalies of intestine	Traction, splints, and other wound care	7515	214
Nontraumatic hematoma of soft tissue	Therapeutic radiology	72992	211
Disorders of soft tissue, unspecified	Therapeutic radiology	72990	211
Post-traumatic seroma	Therapeutic radiology	72991	211
Other disorders of soft tissue	Therapeutic radiology	72999	211
Full-thickness skin loss [third degree, not otherwise specified] of single digit [finger (nail)] other than thumb	Burns	94431	240
Single liveborn - Born in hospital	Psychological and psychiatric evaluation and	V300	218
TOTAL HEPATECTOMY	Other OR therapeutic procedures, female organ	504	132
Pneumoconiosis, unspecified	Other OR therapeutic procedures, female organ	505	132
Pneumoconiosis due to other silica or silicates	Other OR therapeutic procedures, female organ	502	132
Outpatient Services - General Classification	Other OR therapeutic procedures, female organ	500	132
Asbestosis	Other OR therapeutic procedures, female organ	501	132
Drugs Identification - General Classification	Myelogram	630	181
Unspecified diseases of conjunctiva due to viruses	Excision, lysis peritoneal adhesions	07799	090
mitomycin	Myelogram	632	181
Full-thickness skin loss [third degree, not otherwise specified] of hand, unspecified site	Burns	94430	240
Other amyloidosis	Hemodialysis	27739	058
OVARIAN WEDGE RESECTION	Other operations on ovary	6522	120
Amyloidosis, unspecified	Other OR therapeutic procedures on bone	27730	161
Familial Mediterranean fever	Hemodialysis	27731	058
Spondylosis of unspecified site, without mention of myelopathy	Other diagnostic radiology and related techni	72190	226
Spondylosis of unspecified site, with myelopathy	Arterial blood gases	72191	205
Closed fracture of one or more phalanges of foot	Extracorporeal shock wave, other than urinary	8260	230
POLLICIZATION OPERATION	Extracorporeal shock wave, other than urinary	8261	230
Other conditions due to autosomal anomalies	Other respiratory therapy	7585	217
Villonodular synovitis, site unspecified	Swan-Ganz catheterization for monitoring	71920	204
Full incontinence of feces	Arthrocentesis	78760	155
Nonspecific abnormal electromyogram [EMG]	Other non-OR lower GI therapeutic procedures	79417	095
LEG VEIN EXCISION	Other non-OR upper GI therapeutic procedures	3869	093
Nonspecific abnormal auditory function studies	Other non-OR lower GI therapeutic procedures	79415	095
Other urinary incontinence	Other non-OR therapeutic procedures on muscul	78839	163
Overflow incontinence	Other non-OR therapeutic procedures on muscul	78838	163
Continuous leakage	Other non-OR therapeutic procedures on muscul	78837	163
HEAD/NECK VESSEL EXCIS	Other non-OR upper GI therapeutic procedures	3862	093
INTRACRAN VESSEL EXCIS	Other OR procedures on vessels of head and ne	3861	059
EXCISION OF VESSEL NOS	Other OR procedures on vessels other than hea	3860	061
Mixed incontinence (male) (female)	Other non-OR therapeutic procedures on muscul	78833	163
Stress incontinence, male	Other non-OR therapeutic procedures on muscul	78832	163
Villonodular synovitis, shoulder region	Swan-Ganz catheterization for monitoring	71921	204
Urinary incontinence, unspecified	Other non-OR therapeutic procedures on muscul	78830	163
SHOULDER DISARTICULATION	Anesthesia	8408	232
FOREQUARTER AMPUTATION	Anesthesia	8409	232
Abdominal tenderness, left upper quadrant	Abdominal pain	78962	251
UPPER LIMB AMPUTAT NOS	Anesthesia	8400	232
Chronic migraine without aura, without mention of intractable migraine without mention of status migrainosus	Cholecystectomy and common duct exploration	34670	084
THUMB AMPUTATION	Anesthesia	8402	232
AMPUTATION THROUGH HAND	Anesthesia	8403	232
DISARTICULATION OF WRIST	Anesthesia	8404	232
AMPUTATION THRU FOREARM	Anesthesia	8405	232
DISARTICULATION OF ELBOW	Anesthesia	8406	232
AMPUTATION THRU HUMERUS	Anesthesia	8407	232
Ichthyosis congenita	Other respiratory therapy	7571	217
Hereditary edema of legs	Other respiratory therapy	7570	217
Specified anomalies of nails	Other respiratory therapy	7575	217
Specified anomalies of hair	Other respiratory therapy	7574	217
Specified congenital anomalies of breast	Other respiratory therapy	7576	217
Unspecified congenital anomaly of the integument	Other respiratory therapy	7579	217
Other specified anomalies of the integument	Other respiratory therapy	7578	217
Villonodular synovitis, lower leg	Swan-Ganz catheterization for monitoring	71926	204
Unspecified perineal laceration, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of heart (echocardiogra	66441	193
Secondary uterine inertia, antepartum condition or complication	Contrast arteriogram of femoral and lower ext	66113	190
Secondary uterine inertia, delivered, with or without mention of antepartum condition	Contrast arteriogram of femoral and lower ext	66111	190
PELVIC GAS CONTRAST XRAY	Other diagnostic radiology and related techni	8812	226
Triplet pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication	Diagnostic ultrasound of urinary tract	65143	195
conformity evaluation	Ophthalmologic and otologic diagnosis and tre	V5020	220
Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled	Extracorporeal circulation auxiliary to open	25090	050
Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site	Laminectomy, excision intervertebral disc	0413	003
OPEN PERIPH NERVE BIOPSY	Other diagnostic nervous system procedures	0412	007
Acute cor pulmonale	Nephrotomy and nephrostomy	4150	103
Acute pulmonary heart disease - Pulmonary embolism and infarction	Nephrotomy and nephrostomy	4151	103
Pseudomonas infection in conditions classified elsewhere and of unspecified site	Laminectomy, excision intervertebral disc	0417	003
Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site	Laminectomy, excision intervertebral disc	0416	003
Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site	Laminectomy, excision intervertebral disc	0415	003
Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site	Laminectomy, excision intervertebral disc	0414	003
Thyroid dysfunction of mother, unspecified as to episode of care or not applicable	Myelogram	64810	181
Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition	Myelogram	64811	181
PERIPH NERVE DX PROC NEC	Other diagnostic nervous system procedures	0419	007
Thyroid dysfunction of mother, antepartum condition or complication	Myelogram	64813	181
Thyroid dysfunction of mother, postpartum condition or complication	Myelogram	64814	181
Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness	Laboratory - Chemistry and Hematology	80122	233
Other and unspecified abnormality of organs and soft tissues of pelvis, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65493	195
Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	65491	195
Other and unspecified abnormality of organs and soft tissues of pelvis, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	65490	195
Pathologic fracture of vertebrae	Radioisotope bone scan	73313	207
Pathologic fracture of distal radius and ulna	Radioisotope bone scan	73312	207
Pathologic fracture of humerus	Radioisotope bone scan	73311	207
Pathologic fracture, unspecified site	Radioisotope bone scan	73310	207
Pathologic fracture of tibia or fibula	Radioisotope bone scan	73316	207
